label	location
N398|837|75.837458	NL
N399|1008|69.756559	MX
N400|1714|60.724694	VE
N401|994|73.13265	MX
N402|1027|50.299536	MX
N403|1029|66.858337	MX
N404|2274|82.891327	US
N405|2274|82.601282	US
N406|2725|82.713249	CA
N407|2334|48.304499	US
N408|1603|65.976501	AU
N409|2218|72.516069	US
N410|2479|75.219008	US
N411|990|82.301223	MX
N412|1017|69.603094	MX
N413|2257|80.539425	US
N414|2257|74.921958	US
N415|2257|83.445747	US
N416|2501|77.813686	US
N417|2501|77.080623	US
N418|2144|83.795406	US
N419|1201|82.156608	DO
N420|1173|82.530237	NO
N421|2190|81.215464	US
N422|1701|83.751793	VE
N423|2716|82.608397	CA
N424|2716|65.323981	CA
N425|2441|82.706038	US
N426|2077|83.808678	US
N427|2230|81.727956	US
N428|2636|83.787622	CA
N429|2636|83.911927	CA
N430|2304|82.060358	US
N431|720|75.105891	BE
N432|1699|82.174046	AT
N433|2336|78.465984	US
N434|2701|77.810801	CA
N435|2701|76.273423	CA
N436|2701|76.487505	CA
N437|2258|83.454511	US
N438|1977|81.032057	BR
N439|2925|83.281255	IE
N440|782|81.348039	GB
N441|2366|60.968515	US
N442|2528|69.586833	US
N443|2162|78.145045	US
N444|2417|68.831858	US
N445|2417|70.197131	US
N446|2303|77.330575	US
N447|2303|82.852839	US
N448|2223|82.452396	US
N449|197|79.075631	PR
N450|197|81.043161	PR
N451|2212|81.97084	US
N452|2099|80.093897	US
N453|2194|83.859344	US
N454|2517|82.594166	US
N455|2530|80.61707	US
N456|2530|79.752075	US
N457|2429|65.957941	US
N458|2429|78.433942	US
N459|2429|58.630293	US
N460|2333|83.107999	US
N461|2387|83.057655	US
N462|2229|78.923371	US
N463|1032|79.431134	MX
N464|2518|71.302549	US
N465|2343|83.687097	US
N466|983|76.575217	MX
N467|1560|73.447879	GT
N468|1022|83.176082	MX
N469|2175|83.9592	US
N470|2175|80.617525	US
N471|1022|78.760983	MX
N472|2614|83.286424	CA
N473|2614|83.977178	CA
N474|2614|83.183161	CA
N475|1022|72.258439	MX
N476|1006|75.007138	MX
N477|1006|77.121026	MX
N478|2777|71.596569	CA
N479|1205|68.80568	IL
N480|1439|83.498239	PT
N481|1010|72.767904	MX
N482|1010|53.732347	MX
N483|802|77.902041	CR
N484|981|58.629252	MX
N485|1535|82.363232	FR
N486|2682|71.260281	CA
N487|2874|72.225809	ES
N488|2874|79.466045	ES
N489|1024|44.423238	MX
N490|735|83.691203	DE
N491|2061|83.834018	US
N492|602|83.512656	PH
N493|991|76.01232	MX
N494|1377|75.120958	CO
N495|1758|83.703332	TR
N496|2524|78.148902	US
N497|2524|73.17052	US
N498|992|72.298162	MX
N499|1035|76.789316	MX
N500|2398|78.15929	US
N501|1012|46.253308	MX
N502|989|83.225911	MX
N503|989|82.575079	MX
N504|2533|60.364837	US
N505|2181|69.731025	US
N506|3093|76.055413	IT
N507|3093|77.06085	IT
N508|2375|81.538562	US
N509|803|83.132823	CR
N510|412|81.764178	CN
N511|412|77.323685	CN
intNode1	US
intNode2	US
intNode3	US
intNode4	US
intNode5	US
intNode6	NL
intNode7	US
intNode8	US
intNode9	US
intNode10	US
intNode11	US
intNode12	US
intNode13	US
intNode14	US
intNode15	US
intNode16	US
intNode17	MX
intNode18	IL
intNode19	US
intNode20	US
intNode21	US
intNode22	US
intNode23	US
intNode24	US
intNode25	CN
intNode26	MX
intNode27	MX
intNode28	MX
intNode29	MX
intNode30	MX
intNode31	MX
intNode32	CA
intNode33	MX
intNode34	MX
intNode35	MX
intNode36	MX
intNode37	MX
intNode38	MX
intNode39	MX
intNode40	MX
intNode41	MX
intNode42	MX
intNode43	MX
intNode44	MX
intNode45	MX
intNode46	MX
intNode47	MX
intNode48	MX
intNode49	MX
intNode50	MX
intNode51	MX
intNode52	US
intNode53	US
intNode54	CA
intNode55	CA
intNode56	ES
intNode57	MX
intNode58	MX
intNode59	MX
intNode60	MX
intNode61	MX
intNode62	IT
intNode63	MX
intNode64	MX
intNode65	MX
intNode66	US
intNode67	US
intNode68	US
intNode69	US
intNode70	US
intNode71	US
intNode72	US
intNode73	US
intNode74	US
intNode75	US
intNode76	CA
intNode77	CA
intNode78	CA
intNode79	CA
intNode80	CA
intNode81	CA
intNode82	CA
intNode83	US
intNode84	US
intNode85	US
intNode86	US
intNode87	US
intNode88	US
intNode89	US
intNode90	US
intNode91	US
intNode92	US
intNode93	US
intNode94	US
intNode95	US
intNode96	GB
intNode97	US
intNode98	US
intNode99	US
intNode100	US
intNode101	US
intNode102	US
intNode103	US
intNode104	US
intNode105	US
intNode106	US
intNode107	US
intNode108	US
intNode109	US
intNode110	US
intNode111	US
intNode112	US
intNode113	PR
