label	location
N399|2229|75.374087	US
N400|802|81.658482	CR
N401|2623|76.635386	CA
N402|2623|78.046432	CA
N403|1025|76.622521	MX
N405|1535|65.009451	FR
N404|3141|83.863789	JP
N406|1031|48.155113	MX
N407|990|63.44734	MX
N408|999|63.071155	MX
N409|983|77.704545	MX
N410|994|80.923114	MX
N411|2334|48.314523	US
N412|2479|82.461194	US
N414|2334|67.159502	US
N413|915|83.286903	GR
N398|2777|78.574631	CA
N416|1024|40.131345	MX
N417|2061|83.721265	US
N415|984|83.231869	MX
N418|735|82.130493	DE
N419|1028|82.698925	MX
N420|2682|80.773778	CA
N421|1035|76.988764	MX
N422|1035|69.534117	MX
N423|1000|68.824352	MX
N424|1000|69.038203	MX
N425|1000|81.497896	MX
N426|982|68.306774	MX
N481|2401|77.026903	US
N482|2518|70.137225	US
N478|2343|80.745895	US
N479|2343|82.519343	US
N480|2343|79.404322	US
N483|2272|80.450171	US
N484|2453|78.952134	US
N485|981|70.441554	MX
N477|1026|68.771004	MX
N429|1977|80.291608	BR
N430|1977|79.479082	BR
N431|654|76.411272	NI
N428|2517|76.4755	US
N427|1173|82.960317	NO
N435|3224|83.302715	BS
N436|2925|83.196176	IE
N434|1465|83.869583	EC
N432|2190|82.167245	US
N433|2190|79.745536	US
N437|3192|83.226456	AR
N438|3192|83.10204	AR
N439|2304|82.774426	US
N441|3205|79.899368	AR
N442|2295|83.20513	US
N443|2295|83.831976	US
N444|2295|83.332146	US
N440|90|83.976588	BO
N445|2733|81.250307	CA
N446|1701|83.706463	VE
N447|1701|82.015468	VE
N448|1396|83.141723	CO
N451|2506|83.338406	US
N452|2506|83.873688	US
N453|1462|83.423143	EC
N454|1462|83.790781	EC
N455|1462|82.624724	EC
N456|1462|82.431906	EC
N450|2701|83.122463	CA
N457|492|77.947892	JM
N458|2333|82.594661	US
N449|2528|79.670263	US
N460|2212|78.877943	US
N461|519|81.77055	UY
N462|2195|80.858614	US
N459|1984|83.695812	BR
N463|2884|81.336146	ES
N464|2636|82.773497	CA
N465|3127|74.301147	JP
N466|2242|81.262087	US
N467|2242|82.612932	US
N468|2441|78.904838	US
N469|2429|67.798466	US
N470|2223|83.722147	US
N471|244|78.248299	PY
N472|2437|82.233085	US
N473|2437|83.85548	US
N475|2639|83.369369	CA
N476|2643|83.558599	CA
N474|2335|72.860784	US
N486|2614|83.448598	CA
N487|2299|75.114496	US
N488|2217|62.176833	US
N489|2720|82.581769	CA
N490|2720|76.133922	CA
N491|3099|66.248498	IT
N492|1018|54.738035	MX
N493|2143|82.305738	US
N494|3093|82.656545	IT
N495|2918|83.400253	SV
N497|412|82.609127	CN
N498|2398|79.895148	US
N496|1034|66.883236	MX
N503|2042|67.646231	BR
N504|473|82.152846	CN
N502|750|80.541748	DE
N499|1021|82.929891	MX
N500|1021|63.410166	MX
N501|1021|67.414354	MX
N505|2524|71.595401	US
N506|2524|70.065485	US
N507|2524|67.840724	US
intNode1	MX
intNode2	MX
intNode3	MX
intNode4	MX
intNode5	MX
intNode6	MX
intNode7	MX
intNode8	MX
intNode9	MX
intNode10	CA
intNode11	MX
intNode12	FR
intNode13	MX
intNode14	MX
intNode15	US
intNode16	US
intNode17	US
intNode18	MX
intNode19	MX
intNode20	MX
intNode21	MX
intNode22	MX
intNode23	MX
intNode24	MX
intNode25	MX
intNode26	MX
intNode27	MX
intNode28	MX
intNode29	MX
intNode30	MX
intNode31	MX
intNode32	MX
intNode33	MX
intNode34	MX
intNode35	MX
intNode36	MX
intNode37	MX
intNode38	MX
intNode39	MX
intNode40	MX
intNode41	US
intNode42	US
intNode43	US
intNode44	MX
intNode45	MX
intNode46	MX
intNode47	MX
intNode48	MX
intNode49	BR
intNode50	MX
intNode51	MX
intNode52	MX
intNode53	MX
intNode54	MX
intNode55	MX
intNode56	US
intNode57	MX
intNode58	MX
intNode59	MX
intNode60	AR
intNode61	MX
intNode62	MX
intNode63	US
intNode64	US
intNode65	MX
intNode66	MX
intNode67	VE
intNode68	MX
intNode69	MX
intNode70	MX
intNode71	MX
intNode72	US
intNode73	EC
intNode74	EC
intNode75	EC
intNode76	MX
intNode77	MX
intNode78	MX
intNode79	MX
intNode80	MX
intNode81	MX
intNode82	MX
intNode83	MX
intNode84	MX
intNode85	MX
intNode86	US
intNode87	MX
intNode88	MX
intNode89	MX
intNode90	US
intNode91	MX
intNode92	MX
intNode93	MX
intNode94	MX
intNode95	US
intNode96	CA
intNode97	MX
intNode98	MX
intNode99	MX
intNode100	MX
intNode101	MX
intNode102	MX
intNode103	MX
intNode104	MX
intNode105	MX
intNode106	MX
intNode107	MX
intNode108	US
intNode109	US
