label	location
N398|2042|76.173035	BR
N399|2042|79.194199	BR
N400|2042|69.259064	BR
N401|2042|79.491634	BR
N402|983|77.988456	MX
N403|3093|78.334744	IT
N404|1003|77.427277	MX
N405|2214|81.817145	US
N406|2214|83.154134	US
N407|2214|83.678924	US
N408|1758|83.238892	TR
N409|2453|67.838883	US
N410|2453|76.442577	US
N411|2181|81.956724	US
N412|2272|76.174221	US
N413|2272|75.98199	US
N414|992|82.18656	MX
N415|276|79.056993	CH
N416|1032|70.389421	MX
N417|2401|77.08966	US
N418|2401|73.071976	US
N419|2857|83.858774	PL
N420|1205|68.121647	IL
N421|1205|79.57276	IL
N422|3004|52.774987	PA
N423|3004|74.612078	PA
N424|3004|58.776281	PA
N425|1031|56.056347	MX
N426|1013|62.736695	MX
N427|1021|67.868053	MX
N428|2648|78.679273	CA
N429|2341|79.39178	US
N430|1560|72.794278	GT
N431|412|80.173502	CN
N432|2368|83.886493	US
N433|2368|83.407162	US
N434|2368|83.543672	US
N435|984|83.678809	MX
N436|2061|83.65971	US
N437|1007|80.997065	MX
N438|3127|80.538007	JP
N439|2643|80.757522	CA
N440|3205|70.360781	AR
N441|2333|82.011337	US
N442|2333|82.717625	US
N443|2465|83.810897	US
N444|2465|81.563331	US
N445|2257|79.887254	US
N446|2265|83.097872	US
N447|2265|74.32328	US
N448|1396|82.788613	CO
N449|2366|67.913573	US
N450|2366|61.585957	US
N451|2610|81.93222	CA
N452|2242|82.105095	US
N453|2242|81.963186	US
N454|1173|80.161412	NO
N455|2206|81.552548	US
N456|197|80.687988	PR
N457|2528|83.044413	US
N458|2335|67.084674	US
N459|492|78.077648	JM
N460|2701|77.917339	CA
N461|2224|83.704721	US
N462|519|76.380368	UY
N463|1465|82.910581	EC
N464|2437|79.344155	US
N465|2034|64.378152	BR
N466|2034|78.144097	BR
N467|2162|83.93661	US
N468|791|77.78723	GB
N469|2429|74.769593	US
N470|782|83.913691	GB
N471|2925|83.336894	IE
N472|2733|75.466836	CA
N473|654|76.685291	NI
N474|2303|82.973201	US
N475|1006|75.216452	MX
N476|999|58.929167	MX
N477|999|56.477977	MX
N478|2682|75.615424	CA
N479|2396|72.489688	US
N480|1535|61.15673	FR
N481|1026|74.190299	MX
N482|2532|48.838849	US
N483|2532|78.428523	US
N484|2229|81.54547	US
N485|2777|66.38082	CA
N486|2777|62.101756	CA
N487|2766|79.500923	CA
intNode1	MX
intNode2	MX
intNode3	MX
intNode4	MX
intNode5	BR
intNode6	BR
intNode7	BR
intNode8	MX
intNode9	MX
intNode10	MX
intNode11	US
intNode12	US
intNode13	MX
intNode14	MX
intNode15	MX
intNode16	MX
intNode17	MX
intNode18	US
intNode19	MX
intNode20	MX
intNode21	MX
intNode22	PA
intNode23	PA
intNode24	PA
intNode25	IL
intNode26	PA
intNode27	US
intNode28	US
intNode29	US
intNode30	US
intNode31	MX
intNode32	US
intNode33	US
intNode34	US
intNode35	US
intNode36	US
intNode37	US
intNode38	US
intNode39	US
intNode40	US
intNode41	US
intNode42	US
intNode43	US
intNode44	US
intNode45	US
intNode46	US
intNode47	US
intNode48	US
intNode49	US
intNode50	US
intNode51	US
intNode52	US
intNode53	US
intNode54	US
intNode55	US
intNode56	US
intNode57	US
intNode58	US
intNode59	US
intNode60	US
intNode61	US
intNode62	US
intNode63	US
intNode64	US
intNode65	US
intNode66	US
intNode67	US
intNode68	US
intNode69	US
intNode70	US
intNode71	US
intNode72	US
intNode73	BR
intNode74	US
intNode75	US
intNode76	US
intNode77	US
intNode78	MX
intNode79	MX
intNode80	MX
intNode81	MX
intNode82	MX
intNode83	MX
intNode84	MX
intNode85	MX
intNode86	US
intNode87	CA
intNode88	CA
intNode89	CA
