label	location
N398|2777|78.574631	CA
N399|2229|75.374087	US
N400|802|81.658482	CR
N401|2623|76.635386	CA
N402|2623|78.046432	CA
N403|1025|76.622521	MX
N404|3141|83.863789	JP
N405|1535|65.009451	FR
N406|1031|48.155113	MX
N407|990|63.44734	MX
N408|999|63.071155	MX
N409|983|77.704545	MX
N410|994|80.923114	MX
N411|2334|48.314523	US
N412|2479|82.461194	US
N413|915|83.286903	GR
N414|2334|67.159502	US
N415|984|83.231869	MX
N416|1024|40.131345	MX
N417|2061|83.721265	US
N418|735|82.130493	DE
N419|1028|82.698925	MX
N420|2682|80.773778	CA
N421|1035|76.988764	MX
N422|1035|69.534117	MX
N423|1000|68.824352	MX
N424|1000|69.038203	MX
N425|1000|81.497896	MX
N426|982|68.306774	MX
N427|1173|82.960317	NO
N428|2517|76.4755	US
N429|1977|80.291608	BR
N430|1977|79.479082	BR
N431|654|76.411272	NI
N432|2190|82.167245	US
N433|2190|79.745536	US
N434|1465|83.869583	EC
N435|3224|83.302715	BS
N436|2925|83.196176	IE
N437|3192|83.226456	AR
N438|3192|83.10204	AR
N439|2304|82.774426	US
N440|90|83.976588	BO
N441|3205|79.899368	AR
N442|2295|83.20513	US
N443|2295|83.831976	US
N444|2295|83.332146	US
N445|2733|81.250307	CA
N446|1701|83.706463	VE
N447|1701|82.015468	VE
N448|1396|83.141723	CO
N449|2528|79.670263	US
N450|2701|83.122463	CA
N451|2506|83.338406	US
N452|2506|83.873688	US
N453|1462|83.423143	EC
N454|1462|83.790781	EC
N455|1462|82.624724	EC
N456|1462|82.431906	EC
N457|492|77.947892	JM
N458|2333|82.594661	US
N459|1984|83.695812	BR
N460|2212|78.877943	US
N461|519|81.77055	UY
N462|2195|80.858614	US
N463|2884|81.336146	ES
N464|2636|82.773497	CA
N465|3127|74.301147	JP
N466|2242|81.262087	US
N467|2242|82.612932	US
N468|2441|78.904838	US
N469|2429|67.798466	US
N470|2223|83.722147	US
N471|244|78.248299	PY
N472|2437|82.233085	US
N473|2437|83.85548	US
N474|2335|72.860784	US
N475|2639|83.369369	CA
N476|2643|83.558599	CA
N477|1026|68.771004	MX
N478|2343|80.745895	US
N479|2343|82.519343	US
N480|2343|79.404322	US
N481|2401|77.026903	US
N482|2518|70.137225	US
N483|2272|80.450171	US
N484|2453|78.952134	US
N485|981|70.441554	MX
N486|2614|83.448598	CA
N487|2299|75.114496	US
N488|2217|62.176833	US
N489|2720|82.581769	CA
N490|2720|76.133922	CA
N491|3099|66.248498	IT
N492|1018|54.738035	MX
N493|2143|82.305738	US
N494|3093|82.656545	IT
N495|2918|83.400253	SV
N496|1034|66.883236	MX
N497|412|82.609127	CN
N498|2398|79.895148	US
N499|1021|82.929891	MX
N500|1021|63.410166	MX
N501|1021|67.414354	MX
N502|750|80.541748	DE
N503|2042|67.646231	BR
N504|473|82.152846	CN
N505|2524|71.595401	US
N506|2524|70.065485	US
N507|2524|67.840724	US
intNode1	US
intNode2	US
intNode3	US
intNode4	US
intNode5	US
intNode6	US
intNode7	CA
intNode8	CA
intNode9	CA
intNode10	CA
intNode11	US
intNode12	US
intNode13	US
intNode14	US
intNode15	US
intNode16	US
intNode17	US
intNode18	US
intNode19	CN
intNode20	US
intNode21	US
intNode22	US
intNode23	US
intNode24	US
intNode25	US
intNode26	US
intNode27	US
intNode28	US
intNode29	US
intNode30	US
intNode31	US
intNode32	JM
intNode33	JM
intNode34	EC
intNode35	EC
intNode36	EC
intNode37	JM
intNode38	CA
intNode39	CA
intNode40	CA
intNode41	CA
intNode42	VE
intNode43	EC
intNode44	EC
intNode45	US
intNode46	US
intNode47	US
intNode48	US
intNode49	US
intNode50	BR
intNode51	BR
intNode52	JP
intNode53	US
intNode54	US
intNode55	US
intNode56	US
intNode57	US
intNode58	US
intNode59	US
intNode60	US
intNode61	US
intNode62	US
intNode63	CA
intNode64	US
intNode65	US
intNode66	US
intNode67	US
intNode68	US
intNode69	US
intNode70	US
intNode71	US
intNode72	US
intNode73	AR
intNode74	AR
intNode75	AR
intNode76	BR
intNode77	US
intNode78	US
intNode79	US
intNode80	CA
intNode81	MX
intNode82	MX
intNode83	MX
intNode84	MX
intNode85	MX
intNode86	MX
intNode87	MX
intNode88	MX
intNode89	MX
intNode90	MX
intNode91	MX
intNode92	MX
intNode93	MX
intNode94	MX
intNode95	MX
intNode96	MX
intNode97	FR
intNode98	MX
intNode99	MX
intNode100	MX
intNode101	MX
intNode102	MX
intNode103	MX
intNode104	MX
intNode105	MX
intNode106	MX
intNode107	MX
intNode108	DE
intNode109	MX
