label	location
N398|1032|67.520136	MX
N399|2766|71.454727	CA
N400|2623|83.42111	CA
N401|2725|77.862972	CA
N402|2725|80.371056	CA
N403|992|36.227244	MX
N404|992|36.424039	MX
N405|2343|82.458802	US
N406|2401|78.846243	US
N407|2682|60.97959	CA
N408|2777|70.752282	CA
N409|2042|70.888106	BR
N410|2229|62.198825	US
N411|1029|76.26355	MX
N412|1029|81.309784	MX
N413|990|73.045313	MX
N414|276|80.164092	CH
N415|276|77.919793	CH
N416|2918|83.730099	SV
N417|2918|83.389467	SV
N418|2305|71.081066	US
N419|1560|67.080037	GT
N420|1560|72.144046	GT
N421|2375|66.028161	US
N422|803|83.644451	CR
N423|2397|72.065532	US
N424|2396|64.936723	US
N425|1010|80.101778	MX
N426|2387|83.15776	US
N427|90|83.120416	BO
N428|3250|83.491576	CU
N429|2230|83.032533	US
N430|2230|82.356276	US
N431|2335|63.786218	US
N432|2335|62.47676	US
N433|2366|66.07664	US
N434|2366|77.432671	US
N435|2242|83.118857	US
N436|2441|71.231263	US
N437|2517|81.202441	US
N438|2257|74.980398	US
N439|2034|60.645096	BR
N440|2506|83.950251	US
N441|2270|83.081551	US
N442|1216|75.824895	PE
N443|1201|81.52478	DO
N444|2077|79.372412	US
N445|2077|79.435193	US
N446|2304|81.145297	US
N447|2304|82.672182	US
N448|2884|82.72871	ES
N449|2165|83.27426	US
N450|2165|82.862075	US
N451|2162|78.883375	US
N452|2224|74.128313	US
N453|2643|79.191118	CA
N454|2206|80.01821	US
N455|2925|83.185777	IE
N456|2925|83.532881	IE
N457|2701|81.243546	CA
N458|2610|82.69447	CA
N459|2610|77.585387	CA
N460|2610|82.836987	CA
N461|720|74.23324	BE
N462|720|80.694288	BE
N463|2904|79.711316	ES
N464|3205|78.905809	AR
N465|2181|76.503972	US
N466|1004|69.067207	MX
N467|2204|68.212771	US
N468|3141|83.716217	JP
N469|1000|81.255335	MX
N470|1022|66.592444	MX
N471|2648|80.826992	CA
N472|2614|83.678344	CA
N473|999|70.520123	MX
N474|915|83.653584	GR
N475|982|74.745069	MX
N476|1205|76.149651	IL
N477|2857|83.189234	PL
N478|2857|83.82931	PL
N479|2857|83.89411	PL
N480|732|68.330992	DE
N481|732|79.295786	DE
N482|742|54.195754	DE
N483|2214|77.835589	US
N484|981|53.26638	MX
N485|981|79.937079	MX
N486|1007|83.746908	MX
N487|1007|81.75067	MX
N488|2368|83.464823	US
N489|984|83.319049	MX
N490|2061|83.197718	US
N491|2061|83.72287	US
N492|996|74.309611	MX
N493|996|60.867387	MX
N494|3093|82.98968	IT
N495|3093|79.714286	IT
N496|983|66.751434	MX
N497|1037|66.691561	MX
N498|1026|78.341443	MX
N499|1021|83.42932	MX
N500|473|82.257797	CN
N501|473|82.614213	CN
N502|473|82.606257	CN
N503|596|53.743662	PH
intNode1	MX
intNode2	MX
intNode3	MX
intNode4	MX
intNode5	MX
intNode6	MX
intNode7	MX
intNode8	MX
intNode9	US
intNode10	US
intNode11	US
intNode12	US
intNode13	US
intNode14	US
intNode15	CA
intNode16	US
intNode17	US
intNode18	US
intNode19	US
intNode20	US
intNode21	US
intNode22	US
intNode23	US
intNode24	US
intNode25	US
intNode26	IE
intNode27	US
intNode28	US
intNode29	MX
intNode30	MX
intNode31	MX
intNode32	MX
intNode33	MX
intNode34	MX
intNode35	MX
intNode36	MX
intNode37	SV
intNode38	MX
intNode39	MX
intNode40	MX
intNode41	CA
intNode42	CA
intNode43	CA
intNode44	MX
intNode45	MX
intNode46	US
intNode47	GT
intNode48	MX
intNode49	MX
intNode50	MX
intNode51	MX
intNode52	MX
intNode53	MX
intNode54	MX
intNode55	CA
intNode56	MX
intNode57	MX
intNode58	MX
intNode59	MX
intNode60	MX
intNode61	MX
intNode62	MX
intNode63	CN
intNode64	MX
intNode65	US
