label	location
N398|276|78.021371	CH
N399|3093|68.708114	IT
N400|2623|73.205043	CA
N401|2766|75.886795	CA
N402|1029|75.553378	MX
N403|1029|73.231237	MX
N404|2125|63.202959	US
N405|2204|80.874541	US
N406|983|70.201149	MX
N407|412|79.939433	CN
N408|803|83.733791	CR
N409|803|83.829475	CR
N410|1714|74.631889	VE
N411|1714|69.639081	VE
N412|1003|81.233287	MX
N413|1007|80.320339	MX
N414|1024|41.081834	MX
N415|2175|82.013318	US
N416|2175|83.440322	US
N417|2524|78.540347	US
N418|2217|58.621579	US
N419|2874|79.003988	ES
N420|1025|67.294495	MX
N421|473|83.521476	CN
N422|596|51.900423	PH
N423|1032|69.038582	MX
N424|1032|57.036777	MX
N425|1018|68.933808	MX
N426|1439|80.468066	PT
N427|750|71.847841	DE
N428|750|78.819018	DE
N429|752|80.85448	DE
N430|1205|80.357156	IL
N431|1205|68.841418	IL
N432|1205|75.035027	IL
N433|2857|83.402722	PL
N434|2857|83.465891	PL
N435|982|82.302197	MX
N436|3192|82.884193	AR
N437|2733|82.339851	CA
N438|2288|80.38402	US
N439|1465|83.725589	EC
N440|782|82.765951	GB
N441|2925|83.8739	IE
N442|2458|82.681567	US
N443|2408|78.787017	US
N444|2408|73.768658	US
N445|2195|69.612469	US
N446|2195|73.745187	US
N447|2432|79.820099	US
N448|2206|80.199907	US
N449|2528|64.086427	US
N450|2610|80.093757	CA
N451|2165|83.543014	US
N452|789|80.346137	GB
N453|2194|83.444583	US
N454|2194|83.298387	US
N455|1036|70.712528	MX
N456|1699|82.308487	AT
N457|2716|75.287857	CA
N458|2258|83.79081	US
N459|2258|83.421918	US
N460|2437|81.145357	US
N461|2437|83.977274	US
N462|2230|78.023607	US
N463|2230|79.313327	US
N464|1036|71.248769	MX
N465|2636|82.900483	CA
N466|2701|78.299712	CA
N467|2333|82.209196	US
N468|2265|74.449587	US
N469|2190|74.664094	US
N470|2144|82.67745	US
N471|2366|73.398961	US
N472|2366|61.045276	US
N473|791|77.065127	GB
N474|2643|79.965471	CA
N475|2643|81.233273	CA
N476|2643|80.941476	CA
N477|2441|80.547845	US
N478|999|75.772217	MX
N479|2682|80.301744	CA
N480|2682|76.756035	CA
N481|2682|82.592785	CA
N482|1015|62.707858	MX
N483|1015|80.654591	MX
N484|1017|72.080567	MX
N485|981|57.156245	MX
N486|2489|79.819344	US
N487|1031|48.661839	MX
N488|1010|66.350566	MX
N489|1010|71.508835	MX
N490|1027|50.849164	MX
N491|1027|80.750491	MX
N492|1027|74.12101	MX
N493|1000|57.869549	MX
N494|1000|69.564403	MX
N495|1034|58.614657	MX
N496|1026|66.102571	MX
N497|994|76.867576	MX
N498|1021|67.596114	MX
N499|1021|82.086065	MX
intNode1	MX
intNode2	US
intNode3	US
intNode4	US
intNode5	CA
intNode6	CA
intNode7	CA
intNode8	CA
intNode9	CA
intNode10	CA
intNode11	CA
intNode12	US
intNode13	US
intNode14	US
intNode15	US
intNode16	US
intNode17	US
intNode18	US
intNode19	US
intNode20	US
intNode21	US
intNode22	GB
intNode23	GB
intNode24	US
intNode25	US
intNode26	US
intNode27	US
intNode28	US
intNode29	US
intNode30	US
intNode31	US
intNode32	US
intNode33	US
intNode34	US
intNode35	US
intNode36	US
intNode37	US
intNode38	US
intNode39	US
intNode40	US
intNode41	US
intNode42	MX
intNode43	MX
intNode44	MX
intNode45	MX
intNode46	MX
intNode47	MX
intNode48	MX
intNode49	MX
intNode50	MX
intNode51	CA
intNode52	CA
intNode53	CA
intNode54	CA
intNode55	IL
intNode56	IL
intNode57	CA
intNode58	MX
intNode59	MX
intNode60	MX
intNode61	MX
intNode62	MX
intNode63	MX
intNode64	PL
intNode65	MX
intNode66	MX
intNode67	MX
intNode68	MX
intNode69	MX
intNode70	DE
intNode71	DE
intNode72	MX
intNode73	MX
intNode74	MX
intNode75	MX
intNode76	MX
intNode77	MX
intNode78	MX
intNode79	MX
intNode80	MX
intNode81	MX
intNode82	MX
intNode83	MX
intNode84	MX
intNode85	MX
intNode86	MX
intNode87	MX
intNode88	MX
intNode89	MX
intNode90	MX
intNode91	VE
intNode92	US
intNode93	US
intNode94	US
intNode95	US
intNode96	US
intNode97	US
intNode98	MX
intNode99	CR
intNode100	CR
intNode101	MX
